Comercio;ID Comercio;Invoice DateFecha de Ingreso;Región;Estado;Ciudad;Producto;Precio Por Unidad;Unidades Vendidas;Precio Final;Ganancias;Margen Operativo;Metodo de Venta
Foot Locker;1185732;1/1/2020;Northeast;New York;New York;Men's Street Footwear;$50.00 ;1,2;$6,00,000 ;$3,00,000 ;50%;In-store
Foot Locker;1185732;2/1/2020;Northeast;New York;New York;Men's Athletic Footwear;$50.00 ;1;$5,00,000 ;$1,50,000 ;30%;In-store
Foot Locker;1185732;3/1/2020;Northeast;New York;New York;Women's Street Footwear;$40.00 ;1;$4,00,000 ;$1,40,000 ;35%;In-store
Foot Locker;1185732;4/1/2020;Northeast;New York;New York;Women's Athletic Footwear;$45.00 ;850;$3,82,500 ;$1,33,875 ;35%;In-store
Foot Locker;1185732;5/1/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$5,40,000 ;$1,62,000 ;30%;In-store
Foot Locker;1185732;6/1/2020;Northeast;New York;New York;Women's Apparel;$50.00 ;1;$5,00,000 ;$1,25,000 ;25%;In-store
Foot Locker;1185732;7/1/2020;Northeast;New York;New York;Men's Street Footwear;$50.00 ;1,25;$6,25,000 ;$3,12,500 ;50%;In-store
Foot Locker;1185732;8/1/2020;Northeast;New York;New York;Men's Athletic Footwear;$50.00 ;900;$4,50,000 ;$1,35,000 ;30%;Outlet
Foot Locker;1185732;21/1/2020;Northeast;New York;New York;Women's Street Footwear;$40.00 ;950;$3,80,000 ;$1,33,000 ;35%;Outlet
Foot Locker;1185732;22/1/2020;Northeast;New York;New York;Women's Athletic Footwear;$45.00 ;825;$3,71,250 ;$1,29,938 ;35%;Outlet
Foot Locker;1185732;23/1/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$5,40,000 ;$1,62,000 ;30%;Outlet
Foot Locker;1185732;24/1/2020;Northeast;New York;New York;Women's Apparel;$50.00 ;1;$5,00,000 ;$1,25,000 ;25%;Outlet
Foot Locker;1185732;25/1/2020;Northeast;New York;New York;Men's Street Footwear;$50.00 ;1,22;$6,10,000 ;$3,05,000 ;50%;Outlet
Foot Locker;1185732;26/1/2020;Northeast;New York;New York;Men's Athletic Footwear;$50.00 ;925;$4,62,500 ;$1,38,750 ;30%;Outlet
Foot Locker;1185732;27/1/2020;Northeast;New York;New York;Women's Street Footwear;$40.00 ;950;$3,80,000 ;$1,33,000 ;35%;Outlet
Foot Locker;1185732;28/1/2020;Northeast;New York;New York;Women's Athletic Footwear;$45.00 ;800;$3,60,000 ;$1,26,000 ;35%;Outlet
Foot Locker;1185732;29/1/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;850;$5,10,000 ;$1,53,000 ;30%;Outlet
Foot Locker;1185732;30/1/2020;Northeast;New York;New York;Women's Apparel;$50.00 ;950;$4,75,000 ;$1,18,750 ;25%;Outlet
Foot Locker;1185732;31/1/2020;Northeast;New York;New York;Men's Street Footwear;$50.00 ;1,2;$6,00,000 ;$3,00,000 ;50%;Outlet
Foot Locker;1185732;1/2/2020;Northeast;New York;New York;Men's Athletic Footwear;$50.00 ;900;$4,50,000 ;$1,35,000 ;30%;Outlet
Foot Locker;1185732;2/2/2020;Northeast;New York;New York;Women's Street Footwear;$40.00 ;900;$3,60,000 ;$1,26,000 ;35%;Outlet
Foot Locker;1185732;3/2/2020;Northeast;New York;New York;Women's Athletic Footwear;$45.00 ;825;$3,71,250 ;$1,29,938 ;35%;Outlet
Foot Locker;1185732;4/2/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;825;$4,95,000 ;$1,48,500 ;30%;Outlet
Foot Locker;1185732;5/2/2020;Northeast;New York;New York;Women's Apparel;$50.00 ;950;$4,75,000 ;$1,18,750 ;25%;Outlet
Foot Locker;1185732;6/2/2020;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,22;$7,32,000 ;$3,66,000 ;50%;Outlet
Foot Locker;1185732;7/2/2020;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;925;$5,08,750 ;$1,52,625 ;30%;Outlet
Foot Locker;1185732;8/2/2020;Northeast;New York;New York;Women's Street Footwear;$50.00 ;900;$4,50,000 ;$1,57,500 ;35%;Outlet
Foot Locker;1185732;9/2/2020;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;850;$4,25,000 ;$1,48,750 ;35%;Outlet
Foot Locker;1185732;10/2/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;875;$5,25,000 ;$1,57,500 ;30%;Outlet
Foot Locker;1185732;3/3/2020;Northeast;New York;New York;Women's Apparel;$65.00 ;1;$6,50,000 ;$1,62,500 ;25%;Outlet
Foot Locker;1185732;4/3/2020;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,25;$7,50,000 ;$3,75,000 ;50%;Outlet
Foot Locker;1185732;5/3/2020;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1;$5,50,000 ;$1,65,000 ;30%;Outlet
Foot Locker;1185732;6/3/2020;Northeast;New York;New York;Women's Street Footwear;$50.00 ;925;$4,62,500 ;$1,61,875 ;35%;Outlet
Foot Locker;1185732;7/3/2020;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;900;$4,50,000 ;$1,57,500 ;35%;Outlet
Foot Locker;1185732;8/3/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$5,40,000 ;$1,62,000 ;30%;Outlet
Foot Locker;1185732;9/3/2020;Northeast;New York;New York;Women's Apparel;$65.00 ;1,05;$6,82,500 ;$1,70,625 ;25%;Outlet
Foot Locker;1185732;10/3/2020;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,275;$7,65,000 ;$3,82,500 ;50%;Outlet
Foot Locker;1185732;11/3/2020;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1,025;$5,63,750 ;$1,69,125 ;30%;Outlet
Foot Locker;1185732;12/3/2020;Northeast;New York;New York;Women's Street Footwear;$50.00 ;950;$4,75,000 ;$1,66,250 ;35%;Outlet
Foot Locker;1185732;13/3/2020;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;900;$4,50,000 ;$1,57,500 ;35%;Outlet
Foot Locker;1185732;14/3/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;925;$5,55,000 ;$1,66,500 ;30%;Outlet
Foot Locker;1185732;15/3/2020;Northeast;New York;New York;Women's Apparel;$65.00 ;1,1;$7,15,000 ;$1,78,750 ;25%;Outlet
