Comercio;ID Comercio;Fecha de Ingreso;Región;Estado;Ciudad;Producto;Precio por Unidad;Unidades Vendidas;Precio Final;Ganancias;Margen Operativo;Metodo de venta;;;
Foot Locker;1185732;15/6/2021;Northeast;New York;New York;Men's Street Footwear;$50,00 ;1.200;$ 60.000;$30.000 ;50%;In-store;;;
Foot Locker;1185732;14/8/2020;Northeast;New York;New York;Men's Athletic Footwear;$50,00 ;1.000;$ 50.000;$35.000 ;30%;In-store;;;
Foot Locker;1185732;19/11/2021;Northeast;New York;New York;Women's Street Footwear;$40,00 ;1.000;$ 40.000;$26.000 ;35%;In-store;;;
Foot Locker;1185732;30/8/2021;Northeast;New York;New York;Women's Athletic Footwear;$45,00 ;850;$ 38.250;$24.863 ;35%;In-store;;;
Foot Locker;1185732;15/5/2021;Northeast;New York;New York;Men's Apparel;$60,00 ;900;$ 54.000;$37.800 ;30%;In-store;;;
Foot Locker;1185732;18/12/2021;Northeast;New York;New York;Women's Apparel;$50,00 ;1.000;$ 50.000;$37.500 ;25%;In-store;;;
Foot Locker;1185732;11/12/2020;Northeast;New York;New York;Men's Street Footwear;$50,00 ;1.250;$ 62.500;$31.250 ;50%;In-store;;;
Foot Locker;1185732;26/6/2020;Northeast;New York;New York;Men's Athletic Footwear;$50,00 ;900;$ 45.000;$31.500 ;30%;Outlet;;;
Foot Locker;1185732;29/7/2020;Northeast;New York;New York;Women's Street Footwear;$40,00 ;950;$ 38.000;$24.700 ;35%;Outlet;;;
Foot Locker;1185732;12/5/2021;Northeast;New York;New York;Women's Athletic Footwear;$45,00 ;825;$ 37.125;$24.131 ;35%;Outlet;;;
Foot Locker;1185732;10/1/2020;Northeast;New York;New York;Men's Apparel;$60,00 ;900;$ 54.000;$37.800 ;30%;Outlet;;;
Foot Locker;1185732;12/5/2021;Northeast;New York;New York;Women's Apparel;$50,00 ;1.000;$ 50.000;$37.500 ;25%;Outlet;;;
